feature,importance_mean,importance_std
X1,0.03621892507382252,0.003708280266674697
X29,0.027777101794334274,0.0020990890161399663
X68,0.027260144862533697,0.001753146719042588
X28,0.02723319708566141,0.0021231310473403936
X121,0.02716233113424697,0.0006910080753984388
X157,0.027028708887856134,0.0018354124124629295
X129,0.02685888320514081,0.001579887141614777
X158,0.026806162585851667,0.0008316368849364762
X84,0.02650118445785643,0.0002042293814528075
X67,0.025710539461192616,0.001384960326262106
X127,0.025630608607274324,0.0020847661191341475
X136,0.025624295877606656,0.0014233401661409844
X167,0.025517915085066217,0.0007392832184172354
X70,0.02512064923056323,0.002072610118198457
X106,0.02497091998687373,0.000925247372679945
X59,0.024915056797469786,0.0009654642150179163
X64,0.024794372465998953,0.0004934941161491442
X166,0.024771798189810717,0.0002209470976489357
X138,0.024364575008321898,0.0007137274714723502
X57,0.02428099418985667,0.0006110761611134091
X122,0.0242664455248008,0.0004923288084713771
X175,0.024175858175291814,0.002437620337719752
X117,0.024162427699096527,0.0019638199830332016
X75,0.0241325991162545,0.00016665702122786337
X35,0.02402314795463963,0.0008641249265838482
X41,0.024021694529319387,0.0007293629202967894
X31,0.023990678469163845,0.0012873657796843353
X38,0.02381085716244961,0.0012753679812485257
X32,0.02379868622838725,0.0018411790656100212
X10,0.02378693043944624,0.0015808829810240131
X115,0.02374556781936747,0.00086344195377651
X173,0.02361715173285543,0.0009601738849361483
X34,0.023542005797266324,0.0022184901142863864
X12,0.023521525566657136,0.001700517904390424
X118,0.023499246476870777,0.0017196146287521976
X11,0.02343726921692879,0.0009092031548250486
X56,0.023412811617907796,0.0011837471280402917
X55,0.023404397586686405,0.0015685812990871304
X144,0.023395644766523376,0.001203441907741832
X73,0.02331469857488781,0.0024863476917870303
X130,0.023207707000894657,0.0019707108027380033
X123,0.023149072940580995,0.0016835387642646982
X72,0.023116317531543046,0.0012074027179071049
X74,0.022936323209445497,0.0018252786484480286
X119,0.02293603638902993,0.0012137075227194685
X133,0.022913192229603602,0.0006165818220591779
X90,0.02276915352024807,0.0020205091196022883
X71,0.022751562336521907,0.0012939708188379846
X142,0.022576392261502615,0.0012722578866173108
X79,0.022501514804365574,0.0011657910983972216
X95,0.02246008764757242,0.0005559918292419338
X125,0.022454127151633602,0.0010193420544007603
X18,0.022413605352598693,0.001471383445892412
X3,0.0224070214592816,0.0009075684161691381
X9,0.0223974959205141,0.0004871850557289915
X165,0.022384600814151796,0.0017781298559387882
X169,0.022341675307259612,0.0015142395917111303
X63,0.022324591817428,0.0010341728930244045
X27,0.022281924713665746,0.00021574264975544232
X62,0.022254558526177453,0.001780654418022111
X37,0.022231906409980778,0.0015251700553799545
X19,0.022134814352617327,0.0008667718064852708
X108,0.022126940297802156,0.000550591990351416
X107,0.02203010808469859,0.00022324098791065908
X143,0.02196652431158086,0.0005142610877938547
X114,0.021959710106233137,0.002269331239805162
X36,0.021685702208521656,0.0011631383019202568
X76,0.021669223463548642,0.0011099919473236371
X161,0.021665386932647485,0.0014558003731395504
X20,0.021662439539524663,0.002082505561640581
X40,0.021656032072727743,0.0010281676603385807
X14,0.021652531935915136,0.0010806026231901275
X77,0.021638892287326628,0.0015001587588488467
X160,0.02163725780412525,0.002258804745627614
X96,0.02156234596925218,0.0006656606792980214
X44,0.021559312828492477,0.0012451273071323896
X150,0.02151968234339663,0.0009170754756770994
X49,0.02149037554756894,0.0014737500267567026
X177,0.021476533842256562,0.0006202867992715736
X25,0.021461317928967327,0.0022626589418945266
X61,0.021441649797290352,0.0013190646569709431
X80,0.021434966898155938,0.001990612060088203
X65,0.02137253385620345,0.0030728956070660987
X174,0.02135216800940672,0.00032544377167024677
X162,0.021330002590331132,0.0002790012537090627
X48,0.02129359334239056,0.0012087627236049238
X124,0.021135207810971224,0.0014178766971137229
X58,0.02113508220862385,0.0005563463739077031
X8,0.021131311321064532,0.0013600881453793546
X100,0.021131027869416674,0.0008667002369345823
X178,0.021110944082987488,0.0005312786510066423
X22,0.021016801342372604,0.0026392093873586595
X156,0.021016395600779985,0.0030074207255240447
X176,0.02093406231553696,0.0013569220348252314
X17,0.020901029408287013,0.0015937017659517399
X42,0.020884706823657506,0.00016934516699799922
X126,0.020847790868040932,0.0018815324817252504
X45,0.020780322610946162,0.0017543385590322927
X2,0.020762261454630376,0.0007302940774922012
X109,0.020734770526874263,0.0008587452731146291
X104,0.020706915292264316,0.00037365361705355256
X102,0.020668858003715873,0.0009218972071547266
X163,0.0206603841823411,0.0004473564632421362
X91,0.020647060898654163,0.00012173941659173997
X171,0.020612416240707237,0.0013743237831070848
X66,0.020546192108105082,0.003095986702248899
X60,0.020514471314152922,0.0009970085482248882
X93,0.020498782680213767,0.0011670281145771838
X140,0.0204552507629369,0.0013101938214638632
X13,0.020435019525023097,0.0004401696267392081
X128,0.020366421072219126,0.0019580374058646966
X15,0.020231394139265557,0.000891620539172228
X94,0.020143591831467078,9.297168586249512e-05
X88,0.020141016353738588,0.0011446485642724203
X78,0.02010235039622832,7.439849675865931e-05
X132,0.020085220919232188,0.0014394588022870914
X5,0.020083690317015884,0.0013524583206821065
X101,0.0199400589238982,0.0007365621792862693
X146,0.019904884664111704,0.0011958746093195393
X105,0.01989078815480853,0.0016599358710165976
X4,0.01986508931893342,0.001457878781497479
X92,0.019862021454881956,0.002228911687186373
X51,0.01985698353441656,0.001090675949693454
X116,0.019829487260002703,0.0014670355549410525
X154,0.019738810399352585,0.00011786725453542003
X33,0.0197209216480632,0.0012431613580766519
X120,0.01970555157829268,0.00093554860747765
X16,0.019639480250735142,0.0005727970422142588
X147,0.019637148367051476,0.001435499448799231
X87,0.019627381059934296,0.0022125728083129573
X52,0.019601361279849645,0.0006160828730194249
X21,0.019550678402159887,0.0020104261483843296
X26,0.019459904449050325,0.0007219413657692713
X6,0.01945356367251509,0.0007836239059641785
X168,0.01942797420544336,0.0013237937236015745
X47,0.019360556395355537,0.0003869142590408902
X46,0.01920560195426091,0.0015217984173243617
X7,0.0191953768946372,0.0014434285545319664
X159,0.019193246234839496,0.001066694265015094
X113,0.019151202375731907,0.0005508384897418691
X145,0.01912574694769631,0.0011311484647125382
X172,0.018823708922981092,0.0011636478138039108
X81,0.01877689002525092,0.0014279010121022763
X89,0.01866996672985129,0.0015348760235797038
X23,0.018594440472280278,0.0008798609752853297
X103,0.018589436433607293,0.0008690484999098952
X151,0.0185804586176761,0.001030042918205998
X39,0.018466663154120672,0.0005815089696288054
X139,0.018443248879857488,0.0004620166311222212
X110,0.018389518786839327,0.001703224811315394
X131,0.018371951926154373,0.0014710002967745876
X111,0.018306852757739578,0.0007148583574112848
X69,0.018291781047870215,0.00028267654753732726
X86,0.018224891854049446,0.0018541391366731113
X170,0.01817980963523465,0.0019832785533885787
X54,0.018043951452270113,0.0006196453774615957
X98,0.01803751522466912,0.0009283585754165907
X83,0.017927014408521735,0.0014600239363159598
X153,0.017833566472696776,0.0014157463015212848
X135,0.01782497996202152,0.0006995334743689354
X134,0.01778236905349802,0.0008786349574816874
X82,0.017727464989255187,0.0010256521730937864
X30,0.01771011022975581,0.0008973825933989661
X141,0.01765722246895766,0.00023382057628314976
X43,0.017588460070395606,0.0007904918016628231
X152,0.01716382014611754,0.0009202465105674659
X85,0.016942756422239563,0.0011114634682340239
X148,0.01692504993966108,0.0009053825172988182
X137,0.01657157350052881,0.0012715460137707076
X50,0.01610708027621473,0.0006959257890210839
X53,0.01609609031523655,0.0014795244511969117
X164,0.016031194491704093,0.00190442182106478
X24,0.01601814551466148,0.0009220405851016825
X97,0.015942023642562548,0.0001898073277693247
X99,0.015671214620304224,0.001517937625216911
X155,0.0156604380078,0.0014809541549981027
X112,0.015153837390856184,0.00023397523108831147
X149,0.014578582617753097,0.0012888370416036976
