,precision,recall,f1-score,support
epileptic_seizure,0.9532163742690059,0.9449275362318841,0.9490538573508006,345.0
tumor_area_eeg,0.5810055865921788,0.6028985507246377,0.5917496443812233,345.0
healthy_area_eeg,0.581151832460733,0.6434782608695652,0.6107290233837689,345.0
eyes_closed,0.8768115942028986,0.7014492753623188,0.7793880837359098,345.0
eyes_open,0.6893732970027248,0.7333333333333333,0.7106741573033708,345.0
accuracy,0.7252173913043478,0.7252173913043478,0.7252173913043478,0.7252173913043478
macro avg,0.7363117369055081,0.7252173913043478,0.7283189532310146,1725.0
weighted avg,0.7363117369055083,0.7252173913043478,0.7283189532310147,1725.0
